#
[ASSETS]
mario.txt
coin.txt
cloud.txt
brick.txt
#
[OBJECTS]
0	120.0	10.0
4	100.0	120.0
4	120.0	120.0
4	140.0	120.0
4	160.0	120.0
4	180.0	120.0
4	100.0	100.0
4	120.0	100.0
4	140.0	100.0
4	160.0	100.0
4	180.0	100.0
50	200.0	160.0	216.0	180.0	1
1	56.0	88.0
1	56.0	104.0
1	56.0	120.0
1	56.0	136.0
1	56.0	152.0
1	88.0	152.0
1	88.0	168.0
1	104.0	152.0
1	104.0	136.0
1	88.0	120.0
4	136.0	136.0
4	152.0	136.0
4	168.0	136.0
4	168.0	136.0
4	184.0	136.0
4	184.0	152.0
4	168.0	152.0
4	152.0	152.0
4	136.0	152.0
5	100.000000	180.000000	16.000000	15.000000	32	20001	52000	20001
