#
[ASSETS]
mario.txt
brick.txt
coin.txt
goomba.txt
cloud.txt
#
[OBJECTS]
0	20.0	10.0
1	0.0	148.0
1	0.0	164.0
1	0.0	180.0
1	16.0	180.0
1	32.0	180.0
1	48.0	180.0
1	64.0	180.0
1	80.0	180.0
1	96.0	180.0
1	112.0	180.0
1	128.0	180.0
1	144.0	180.0
1	160.0	180.0
1	176.0	180.0
1	192.0	180.0
1	208.0	180.0
1	224.0	180.0
1	240.0	180.0
1	256.0	180.0
1	272.0	180.0
1	288.0	180.0
1	304.0	180.0
1	320.0	180.0
1	336.0	180.0
1	352.0	180.0
1	352.0	148.0
1	352.0	164.0
4	120.0	120.0
4	140.0	120.0
4	160.0	120.0
4	180.0	120.0
2	300.0	10.0
50	300.0	110.0	316.0	140.0	2
2	168.0	56.0
2	56.0	152.0
2	184.0	152.0
4	136.0	72.0
4	120.0	56.0
4	120.0	72.0
1	24.0	40.0
1	24.0	56.0
1	24.0	72.0
1	40.0	72.0
1	56.0	72.0
1	56.0	88.0
1	72.0	104.0
1	72.0	88.0
5	90.000000	136.000000	16.000000	15.000000	16	51000	52000	53000
5	120.000000	90.000000	16.000000	16.000000	8	20001	20001	20001
